"Keiyakujyotai"	"m_99_flg"	"ElapY"	"Cancel"
"1"	"0"	"0"	0.00253504861383669
"1"	"0"	"1"	0.00253504861383669
"1"	"0"	"2"	0.00253504861383669
"1"	"0"	"3"	0.00253504861383669
"1"	"0"	"4"	0.00253504861383669
"1"	"0"	"5"	0.00253504861383669
"1"	"0"	"6"	0.00253504861383669
"1"	"0"	"7"	0.00253504861383669
"1"	"0"	"8"	0.00253504861383669
"1"	"0"	"9"	0.00253504861383669
"1"	"0"	"10"	0.00253504861383669
"1"	"0"	"11"	0.00253504861383669
"1"	"0"	"12"	0.00253504861383669
"1"	"0"	"13"	0.00253504861383669
"1"	"0"	"14"	0.00253504861383669
"1"	"0"	"15"	0.00253504861383669
"1"	"0"	"16"	0.00253504861383669
"1"	"0"	"17"	0.00253504861383669
"1"	"0"	"18"	0.00253504861383669
"1"	"0"	"19"	0.00253504861383669
"1"	"0"	"20"	0.00253504861383669
"2"	"0"	"0"	0.000837177359120589
"2"	"0"	"1"	0.000837177359120589
"2"	"0"	"2"	0.000837177359120589
"2"	"0"	"3"	0.000837177359120589
"2"	"0"	"4"	0.000837177359120589
"2"	"0"	"5"	0.000837177359120589
"2"	"0"	"6"	0.000837177359120589
"2"	"0"	"7"	0.000837177359120589
"2"	"0"	"8"	0.000837177359120589
"2"	"0"	"9"	0.000837177359120589
"2"	"0"	"10"	0.000837177359120589
"2"	"0"	"11"	0.000837177359120589
"2"	"0"	"12"	0.000837177359120589
"2"	"0"	"13"	0.000837177359120589
"2"	"0"	"14"	0.000837177359120589
"2"	"0"	"15"	0.000837177359120589
"2"	"0"	"16"	0.000837177359120589
"2"	"0"	"17"	0.000837177359120589
"2"	"0"	"18"	0.000837177359120589
"2"	"0"	"19"	0.000837177359120589
"2"	"0"	"20"	0.000837177359120589
"1"	"1"	"0"	0.00426531877756064
"1"	"1"	"1"	0.00426531877756064
"1"	"1"	"2"	0.00426531877756064
"1"	"1"	"3"	0.00253504861383669
"1"	"1"	"4"	0.00426531877756064
"1"	"1"	"5"	0.00253504861383669
"1"	"1"	"6"	0.00426531877756064
"1"	"1"	"7"	0.00253504861383669
"1"	"1"	"8"	0.00426531877756064
"1"	"1"	"9"	0.00253504861383669
"1"	"1"	"10"	0.00426531877756064
"1"	"1"	"11"	0.00253504861383669
"1"	"1"	"12"	0.00426531877756064
"1"	"1"	"13"	0.00253504861383669
"1"	"1"	"14"	0.00426531877756064
"1"	"1"	"15"	0.00253504861383669
"1"	"1"	"16"	0.00426531877756064
"1"	"1"	"17"	0.00253504861383669
"1"	"1"	"18"	0.00426531877756064
"1"	"1"	"19"	0.00253504861383669
"1"	"1"	"20"	0.00426531877756064
"5"	"0"	"0"	0
"5"	"0"	"1"	0
"5"	"0"	"2"	0
"5"	"0"	"3"	0
"5"	"0"	"4"	0
"5"	"0"	"5"	0
"5"	"0"	"6"	0
"5"	"0"	"7"	0
"5"	"0"	"8"	0
"5"	"0"	"9"	0
"5"	"0"	"10"	0
"5"	"0"	"11"	0
"5"	"0"	"12"	0
"5"	"0"	"13"	0
"5"	"0"	"14"	0
"5"	"0"	"15"	0
"5"	"0"	"16"	0
"5"	"0"	"17"	0
"5"	"0"	"18"	0
"5"	"0"	"19"	0
"5"	"0"	"20"	0
"5"	"1"	"0"	0
"5"	"1"	"1"	0
"5"	"1"	"2"	0
"5"	"1"	"3"	0
"5"	"1"	"4"	0
"5"	"1"	"5"	0
"5"	"1"	"6"	0
"5"	"1"	"7"	0
"5"	"1"	"8"	0
"5"	"1"	"9"	0
"5"	"1"	"10"	0
"5"	"1"	"11"	0
"5"	"1"	"12"	0
"5"	"1"	"13"	0
"5"	"1"	"14"	0
"5"	"1"	"15"	0
"5"	"1"	"16"	0
"5"	"1"	"17"	0
"5"	"1"	"18"	0
"5"	"1"	"19"	0
"5"	"1"	"20"	0
